sourceENS,source,claimable,txs,last_tx_days_ago,first_tx_days_ago,nft_trades,dex_trades,dex_volume_usd,funding_sources,times_cex_funded,processed,name,socials
<nil>,0x964fcbe3896a42db2045479724d1994380feeb56,1190,434,285,588,87,134,70801.91935,7,0,True,MintMarketplace,
<nil>,0xe08a22f52f363522930cbb3bf33a7459703ce3dc,1190,202,505,902,83,13,109644.9189,9,26,True,LiquidDeath,
yub.eth,0x7d0d110aeffe6e43632f24a1abe519a6b2635634,1462,647,296,734,82,91,642429.572,16,17,True,yubs,
metakovan.eth,0x8bb37fb0f0462bb3fc8995cf17721f8e4a399629,1190,521,199,1332,82,21,202900.428,7,7,True,MetaKovan,
chartwrecker.eth,0x36a7fcaf41b24e488f4c5ecef2dfd06985442467,1190,1717,382,897,81,1245,697240.5619,37,100,True,Mikezmoon,"https://Www.thedefiangels.com, https://instagram.com/defiangels, https://twitter.com/mikeZmoon"
pxmythics.eth,0xa46d3b25b3960199dfe622373fb425776cf452cc,1190,756,228,752,80,40,32466.57763,9,0,True,snipername-eth,
paradisewars.eth,0x95d2a610e14daf23d3790025e332df38f7c6205f,1190,460,222,722,79,23,662623.5197,6,0,True,,
dms.eth,0x8b5e90aa714c967efc8c286f46ce0fc822e1cfb0,1872,538,282,2155,78,71,188053.8735,23,26,True,dms_eth,https://twitter.com/dms_eth
romanlecavalier.eth,0x4309f9bc262954fcd3fbab06bced0dfe813118c8,1190,317,225,820,76,16,16869.81287,7,29,True,Sweatymario,
notpunks.eth,0xb1adceddb2941033a090dd166a462fe1c2029484,1462,22554,405,1156,73,2741,536523479.4,44,0,True,,
<nil>,0x8a4ffbcbcb3eabdba21be5f23dd00c42bfc10440,1190,525,331,953,70,17,22443.49955,17,35,True,Snooch,
gorfzone.eth,0xad22a7551bc8665b47970fb465015f762624f8fa,1462,124,497,686,69,3,4003.112909,4,4,True,GorfZone,"https://gorf.zone/, https://twitter.com/gorfzone"
brownie.eth,0xa317cd329865ba15440533c78b73c46be12b3c8d,1462,781,517,918,65,237,1781135.048,22,30,True,ripaccount123,https://twitter.com/Brownie
onionchef.eth,0xbef71cfb317935e68a06f07fa21bf748610fc195,1190,162,227,954,65,4,2895.61246,17,1,True,NFTChef,
<nil>,0xca2dbb355bfcea01bb7ea1dd63723e9845408a3f,1190,313,222,955,64,0,0.0,10,7,True,mrjasperwong,"https://jasperwong.net, https://instagram.com/mrjasperwong"
guardthetower.eth,0x65c671aa1653a28bc6d16c31a4597ed677fff45d,1190,864,647,972,63,91,848371.5524,40,13,True,brokendreams,
<nil>,0x30468c50a0e77a6f1a612adb39949cd6c06b4263,1190,66,389,648,63,0,0.0,1,0,True,,
<nil>,0x25001852cd4f51cb582bf967adcd8bc9868fb6a0,1462,225,345,663,63,38,238225.3035,9,2,True,,
kdalt.eth,0x24aa0b0cb84140ee3768d155dfdc057946b6c8e6,1600,323,237,941,63,28,80933.50836,14,23,True,,
0x0rich.eth,0x1306492dc2574bcbf624dca3765843c980b30d3f,1186,6608,395,1671,62,816,1766132.073,38,43,True,Wrimba,
ponderware.eth,0xd342a4f0397b4268e6adce89b9b88c746afa85ee,1190,647,237,941,62,47,2535653.142,18,0,True,,
<nil>,0x930cbffa8361ffca05f70aa2b39b189b4eae302f,1190,83,526,671,60,2,12439.59753,2,0,True,,
escargot.eth,0xb88e29f546b99c0a9afd350414ce1054919b6e50,1600,647,494,905,59,6,23017.02948,18,51,True,Escargot67,
bryceson.eth,0x5653423c3552a7c992aecd1ba6d66541774e5ae6,1190,318,324,765,59,12,12078.88481,17,22,True,RCvault,
voxelman.eth,0x4ed5ef5ddcf696e3aaa842bc121e8f92afa01932,1237,330,374,962,59,20,15397.5593,9,37,True,VoxelMan,
spacerenders.eth,0xbd310918a5bd453672b1e6da4a0a272cd705ab4d,1190,340,213,942,58,5,4227.442701,11,5,True,SpaceRenders,"https://instagram.com/spacerenders, https://twitter.com/@spacerenders_"
kingstronk.eth,0x429ce9d5288accabf37c11b8f60be0e0e33fe26b,1600,435,283,1629,57,17,23577.52669,13,0,True,ZeitByte,
starstorm.eth,0x43a330dec81bbd5e21f41c6b8354e54d481efc93,1462,454,294,820,56,325,114421454.3,8,0,True,starstorm.eth,
taylorbrophy.eth,0x30432e9e4f66514b87eda626e120670ec6871cc1,1186,211,586,793,55,13,50202.32989,11,7,True,TazMD,"https://www.lukastigers.com/, https://instagram.com/BaylorTrophy, https://twitter.com/@BaylorTrophy"
<nil>,0xedeba8c580cec8dd7f22825ae4384861b4fa04e3,1190,235,415,710,54,39,12949575.3,4,1,True,goodmorningvault,"https://www.gmwagmi.io, https://instagram.com/gmwagmi, https://twitter.com/@gmwagmieth"
jpegdigital.eth,0x77d38e690a35b376dd99bf9b3ae8cb0d9e9fd2e6,1600,741,198,1068,52,38,208798.1399,22,14,True,jpegdigital,"https://jpegdigital.com, https://instagram.com/jpegdigital, https://twitter.com/jpegdigital"
<nil>,0x804dce9e275f0dc3de604661e4d373e592caa3fc,7331,3019,191,1208,52,945,350502.3359,40,26,True,N_GMI,
<nil>,0xd515e42e6ec8d35e5c4ae7a62f02000d3c18424a,1190,980,205,991,50,919,9811544.818,11,2,True,WHOONFT,
bhaumik27.eth,0xc7814d61a8236303a8854fc272ca0419a7e18e32,2018,338,275,778,49,65,154924.0796,10,15,True,bhaumik27,
<nil>,0x89324327750e10a040a05e5286a5fb66a9ba71c4,1190,169,404,776,49,3,9377.928508,12,7,True,,
bacchus.eth,0x87464a7b755a0cb506fed19a289d6e47b1d88d99,1458,1097,600,1011,48,345,2526580.56,27,10,True,BacchusETH,
jst.eth,0x16f9030fb373bb36d07753eaaff5850b849fff8e,1462,150,255,1620,48,8,13330.25782,5,6,True,jst_eth,
<nil>,0xd9e650e4362c8a53f43997ff66706e7f4a9c0c36,1190,198,194,876,48,0,0.0,6,0,True,eldermillennial,
astroport.eth,0xf00c23af4229db3fed7d40676d8f863abfe1a1ce,1190,280,242,1119,47,26,459179.8847,8,5,True,,
emersonhsieh.eth,0xb97b8694f7818b62bb2c55fa285d3ffc15216688,1600,252,223,766,47,6,53967.93119,11,17,True,,
toddpacker.eth,0x4e22510e9b2bc621c2d9dcf21d6b33c0064752de,1190,321,407,814,47,7,13175.45629,8,20,True,Toddpacker,https://twitter.com/toddpackereth
globalnoble.eth,0x028ba99ce7454407e0ab7e3e981db148e74b10e4,1190,157,447,764,46,2,949.5174772,5,19,True,GlobalNoble,
nftg.eth,0x578b4084a1a983c19eecd55beb93649032d946cc,1190,290,218,1159,45,145,514334.9835,5,0,True,0xTwenty2,
<nil>,0xe5a8654631b3729f73ca3503ba09a5d3e11b46da,1458,19610,459,2068,43,7264,115624144.4,273,41,True,Kryptoon,
raidvc.eth,0xb29ded31cbf24cc182f444dcb76f3a06876fc862,1190,419,210,891,43,92,538335.7014,12,11,True,master_nft,
<nil>,0x549d79c28c81778e2e5f5f8bb6fa21c86489fe06,1462,151,540,677,42,0,0.0,6,2,True,,
silkroadcat.eth,0xa76a8e68cf6284543d19da9c12f446ab860cc831,1458,4281,250,979,42,503,715904.6032,40,50,True,silkroadcat,
davemorin.eth,0x7caac653b302d7bf98bc33b800ea988c9d612aa4,1190,329,373,974,42,35,108894.3812,12,13,True,,
<nil>,0xaec0374506b826766822c4b97152588b05de1f8e,1190,61,332,620,42,1,3001.056,2,0,True,,
luckyluc.eth,0x3f05cafc696542d121b3b321f332cd930512ce92,1186,4102,196,1025,42,718,1052221.036,22,57,True,,
nftjeb.eth,0x8c3bed821c8df59df2414897f04298644f87422c,1190,266,351,859,41,25,245940.5535,11,31,True,NFTJEB,
rohaan.eth,0xaa5194f0c753f813823cb5f1af5e3c12b6e07526,1186,642,545,1062,40,191,1429431.721,25,19,True,,
extrahummus.eth,0x78d854ddaee892135e9ce703afa5cf808244b6df,1237,216,231,2172,39,21,33637.34582,13,17,True,SmallLeaps,
sushivader.eth,0x83111e1888c1e49e8703e248edeaa34ef868a1de,1462,3355,206,991,39,502,49731.51102,18,25,True,RGrizzy,
mooncatcommunity.eth,0x795aff8df356872fa867fa77241bbf27efbd5eba,1190,370,246,882,39,12,104755.2397,3,1,True,,
snarfy.eth,0xb970e591772f2ceb482bcd03a8d2f1924a4044ce,1190,87,195,758,38,3,6629.357488,2,2,True,Snarfy,https://twitter.com/SnarfyMcSlappy
fastdontlie.eth,0x6c198974417a58e0b03f13d0a87ae3c4147c27ca,1600,234,544,829,37,1,281.168546,10,19,True,fastdontlie.eth,
healingvisions.eth,0xe54cb283d9e93906eba5d01cfb8af05f895bcf0e,1872,368,338,954,37,8,38726.74535,13,2,True,healingvisions,https://twitter.com/healingvisions
commandercorn.eth,0x06454b31e7a1861765b08d7ed579e603b5b97caa,1458,1378,281,1203,36,633,236778.1663,37,9,True,CommanderCorn,
<nil>,0xb5cf1e7f3397e0d7377914204e4237090da57c40,1190,134,203,904,35,25,88713.01506,10,12,True,KWard03,
0xvick.eth,0x98d14218e4b195f35176d948db213e185cfc6d1d,1190,1396,216,965,35,120,44818.32771,25,9,True,MCE,
tronquixote.eth,0xbf6255234f83717c95064a775666ae88cab97a2f,1600,310,365,2141,34,5,5985.66987,18,4,True,TronQuixote,
gayfrog.eth,0xa9f26c1a516ce348b0aeeec9348ff6f7f772a61a,1872,1798,392,899,34,175,46038.59399,48,21,True,G4YFROG,
<nil>,0x7fc56c8732cd057f18d49c86bebadc13bd74b02f,1872,396,209,930,34,34,69866.32163,6,38,True,Fl33t,
nbapesdao.eth,0xe5bfec0f57fc658f3fce7c63609fc6a141949f85,1190,96,402,658,34,0,0.0,4,0,True,NBAYC,"https://nbayc.co/, https://twitter.com/NBApesYC"
<nil>,0x33a21bd2db8b75eff8f8516c1b3607afd371138a,1190,39,542,629,33,0,0.0,7,0,True,,
drmbrothers.eth,0xcb1ea00e100b10b2c7d1e498f44bfd10a16fcdb5,1600,1784,226,774,33,147,217367.8531,34,24,True,alifloatlikeabutterfly,
<nil>,0x8d0740b455cf448928f78812e97af9e6acc387f7,1190,75,247,760,33,1,2717.813597,3,0,True,EmileJPG,
<nil>,0xbd9ddf4b73aa454cc6d47e7c504eb73157bcf35d,1049,281,702,770,32,86,22462.91724,15,31,True,NgmiSeabass,"https://discord.gg/BY8cEp6CWN, https://twitter.com/NgmiSeabass"
<nil>,0xd1e32acd4679967627e5a0be9c6220bfa94c374a,1462,167,258,760,32,0,0.0,8,19,True,,
<nil>,0x4742cada15a38992846794bda3433a0f45e9e740,1190,98,465,689,31,0,0.0,10,2,True,0xZagah,
<nil>,0xcdb055f06a41d87a3bcb7e2f0975631e06589f1c,2879,634,439,805,31,298,716571.2037,7,4,True,Bagsnbags,
villain.eth,0x60fdb2a4beacc39d31b118e6e5f72984caddfef0,1190,272,629,718,31,44,3540960.876,12,2,True,carve,https://twitter.com/carvethedegen
mando17.eth,0x6a2840a37e5b1b4a0273ae135ab177e56ec668fb,1190,141,400,952,31,11,16429.00641,6,4,True,Randomman,
<nil>,0x2719ae45285b243d1fe59d8898c16f35897df824,1190,258,198,1403,30,60,5710621.668,12,8,True,NeedsVault,https://twitter.com/rarest2012
mrhike.eth,0xe72441a43ed985a9e3d43c11a7fce93dd282ff03,1600,120,247,675,30,0,0.0,6,5,True,MrHike,https://twitter.com/MrHikeArt
<nil>,0x93b24bf1d88dd4246481330837936a8aa131242b,1190,107,338,654,30,6,354474.717,13,1,True,,
<nil>,0xd21a40166324f30bd584069887906082184fdbee,2741,259,506,798,29,44,15586.36356,19,26,True,IrieZion,
maj3sty.eth,0x59299e5dc8d49eb3c763f4c7cb8e670343eb9557,1190,220,220,816,29,39,218252.9426,14,2,True,MokoWaku,
<nil>,0xebc759e1881cd3c85dec3f5b0288afd2a846e391,1742,460,210,680,28,266,7539708.258,13,1,True,,
<nil>,0xf96225d26fa257b200420696092e02cc141cf3d8,1462,524,284,926,28,111,1805116.541,6,1,True,,
elliotcole.eth,0x1393da76a33d128ec89ab11e77c123d128b3de0d,1872,279,275,905,28,25,121319.2468,22,20,True,lahsivmea,
bunthaus.eth,0x51b73c3d7831e499ee6d1074fa04d975fddcfc3a,1462,206,246,749,27,15,14525.27446,6,2,True,Bunthaus,
<nil>,0xfe95e04a628087fcdd5f278e61f148b47471af4a,1190,402,835,2182,27,0,0.0,4,1,True,eodcl,
<nil>,0xb1112a5f60e846044395164b19b4918858f2739e,1190,42,427,797,27,0,0.0,3,2,True,,
tenox.eth,0xb62e9f2e6babc43f2e0e38fcf951dc546706b191,1462,342,204,899,27,10,164601.6441,13,9,True,tenox.eth,
<nil>,0xce7d6423919fc74b08902853189c4746e377334a,1333,285,470,769,27,36,57076.03291,11,8,True,Outman2002,
beanbagz.eth,0xb8b5dc32fec8effc30f7f0ef0fa1eeae3b50a008,1190,191,389,898,27,1,120.7355642,12,35,True,beanbagz,https://twitter.com/beanbagz_eth
<nil>,0x34d61ae07b1f5dfde3eb65f7f6ab827c54a545e3,1237,242,246,887,26,77,460159.9902,6,3,True,,
<nil>,0x2d85417faecd5cd1a52d4e50fc6952e42a53ffd8,1190,163,598,895,25,39,50421.12665,24,17,True,Whosthisitsme,
<nil>,0x9d7ac3eb83637140ccae52f3fa0303bc7ff09bca,1190,59,495,2143,25,0,0.0,6,4,True,,
diamondana.eth,0xfdddd726f759a18b5d3f4cda1350635838584d61,1190,149,199,665,25,1,20.49208,13,10,True,mymoneydontjiggle,
juzz.eth,0xb25689c9b83f243c0c740ebbbc27b6810ebb5194,2469,273,197,797,24,49,342786.8827,9,3,True,0xJuzz,
reiff.eth,0x9ffa3393287131d85d632d0f34385eebb7e7caa0,1462,239,553,988,24,59,109843.4405,5,0,True,kittynetic,
<nil>,0x1629a8dcb00e6dc7b7687d4c9ca1307388b51a1b,1462,77,509,752,24,1,3422.14902,2,0,True,,
<nil>,0xcaeb312bd9e94d76f4f32788a804c37d6b34f114,1190,121,395,733,24,3,997.1645934,12,11,True,Someone-Somewhere,
hojilabs.eth,0x005052a468069b40a239b9f0be7f6b98cdacb096,1190,149,359,766,24,0,0.0,7,2,True,hojixyz,
willjasen.eth,0x9d31409bb816043ad8caaea2cf5d47d9c36f1a29,1462,313,212,1062,24,11,136269.7573,17,39,True,willjasen,"https://willjasen.com, https://instagram.com/willjasen, https://twitter.com/willjasen"
misterrobot.eth,0xaa1b0e21b455d54b3bc09aff398c02266c482832,1186,352,333,1005,24,107,768672.106,13,3,True,mister_robot,
<nil>,0xe1ce863a7ea35c0596dd68acf24f2f77a035ef70,1190,303,518,928,24,139,135092.6334,16,22,True,Packapunch,
587nft.eth,0x6554ac8069938943ea3f9acd7edc42c3b68850f7,2469,214,483,748,24,26,117498.1144,14,25,True,587nft.eth,
<nil>,0xdf938d253a6fb2845eb4b96f27cf8b3d61216b93,2741,965,423,993,24,260,5308303.001,4,9,True,,
<nil>,0x7452faff02a9678061220445ad59c9e869baf2a9,1237,551,202,774,23,136,48947.21049,25,48,True,vikassah,
<nil>,0x98b7aaeb419394b13d46c9508d79b335ff6d98a0,1190,129,651,765,23,0,0.0,9,1,True,,
<nil>,0xcbd97ac4618a662bb864484117124da88c263956,1190,271,403,775,23,5,262.9721349,20,23,True,w00dst3r33,
<nil>,0x07c492813e26355a7be30c35d2e6f0327cdb88b2,1190,139,540,636,23,3,39936.25576,1,0,True,,
<nil>,0x7c641d326363974ed5e704cf2a3b83ead416f645,1190,325,209,938,23,8,55129.22316,6,4,True,AdamBroomberg,
<nil>,0xf5ade58b10dfe64005ef10bb9073734e82f5edaa,1237,1155,310,2134,22,392,5123093.472,36,7,True,RealizeCrypto,
earle.eth,0xef1c99986cfe00d869a3a68c422c076f93cdcd24,1462,189,357,778,22,33,18655.0081,17,27,True,Earle,https://twitter.com/NFTEarle
finemannft.eth,0xd369ff5a2a083584a007501cc6aad0f45101ebe9,1190,74,524,958,22,10,22078.78205,7,11,True,FINENFT,
spectraart.eth,0x54f38fbabb88b69256524dbf61e101758befd4ae,1190,776,222,724,22,4,219681.3851,3,0,True,SpectraArtDeployer,"https://spectra.art, https://twitter.com/SpectraArt_NFT"
therobofrens.eth,0x556b25640a632695150200f1c83e04108d60ed4b,1190,491,311,604,21,0,0.0,8,3,True,robofrens,"https://robofrens.club, https://instagram.com/robofrens, https://twitter.com/robofrens"
negativ3x.eth,0x6769c0cecf54c84ba04b14076fc3b3ded8190bbe,7478,268,289,1005,21,32,36266.91727,7,3,True,Negativ3x,
ethanehrenberg.eth,0xd8f8edd26cd81a0a99eeabfd2275d06e45671ce8,1190,76,191,715,21,0,0.0,8,37,True,Eberg,
m1nn1e.eth,0xe35b1752f91715783bbb603e19acf9098c1f966c,1190,166,569,747,20,4,1311.412643,9,4,True,m1zr1dz,
pistolstamen.eth,0xc0142bf910975039e7b743845b315f0385742bd0,2469,362,251,1173,20,104,784599.8751,25,23,True,pistolstamen,
flinn.eth,0x6d64d370b46758c4a06c6a4749b02bff1e23df3a,1190,197,205,806,20,7,3526.775746,15,9,True,dillywilly,
<nil>,0xa98f08ca7a5b34faed4580e0484af2ac3d1c7371,1190,236,288,1013,20,96,3505512.354,9,0,True,,
<nil>,0xfc64998af487f2bdf7a4b5c26a8acdb9e1eae385,2469,892,399,1126,20,258,366834.0865,17,10,True,iNFiniTy,
drsatsuma.eth,0xea01a639185890c4a76a59ae372223cd7f29ff58,1190,129,296,894,20,15,153495.296,11,4,True,DrSatsuma,https://twitter.com/@drsatsuma
schreiber.eth,0x6cbd72900b2e1d6286b108c7d45e41660b6c3195,1190,101,284,940,20,0,0.0,12,9,True,Handlebar,
crypto-chimp.eth,0xabc1875d2884e340a005e7420b3bf332319f8187,2879,5126,416,1118,20,1693,2524721.683,35,58,True,Grubnuts007,
<nil>,0xa6d9fc0fb1a553f803b89ee62d7c3589bc76e628,1190,113,204,829,20,4,7454.260327,5,2,True,,
finneycent.eth,0x7b035331967075a168471dfbd23ed977f048f61e,1746,361,218,1378,20,25,20660.5824,10,0,True,tenfinney,
<nil>,0x079a3001b90099ed12c4c70bec749f7197393625,1190,100,247,652,19,12,432292.7748,2,1,True,,
crawdad.eth,0xe4e87ef976eab568fda866d23141d37950baf4d9,2879,597,395,864,19,117,632020.4308,12,5,True,,
<nil>,0x768243e5b31f29eb3d83ee97b2f0a022c93dbfa5,1190,76,576,787,19,5,109582.229,13,17,True,Blockhawk,
<nil>,0x5a4c9d2c6fbd2bae165a42c285b1f73558def3d0,1190,2269,297,1142,19,112,375745.1318,5,2,True,,
cryptodads.eth,0x501cae10986556f99e28edf50e213e4ca871d600,1190,339,364,786,19,14,978946.4027,8,0,True,naaaaaa,
virtualbeings.eth,0xb8c50ae12576069aa5ef8304356957efc12d4f38,1462,350,247,939,18,47,121477.6746,28,29,True,612125,
mmayo.eth,0xf9e20049d1634b3ad75dedc6072b04ff68fe01db,1190,157,193,934,18,5,5426.028191,9,3,True,ringzero,
losangelesdonf.eth,0x32e95ab8087aaebf9a1ef8b1f144fcafc4b2332d,1190,290,192,2002,18,70,118799.29,9,7,True,losangelesdonf,
echidna.eth,0x5b9915aa990cea3f67e0af53c05573aafc420656,1186,1992,401,1188,18,311,231452.6255,27,52,True,Blackraven,
liangyit.eth,0xe0083295c592c30b276de6387ce3ccdc664162e2,1190,284,260,1183,18,108,68580.09144,19,21,True,metaCyclist,https://twitter.com/metajeffery
<nil>,0x5e92ea26cc4e7273e153f2f2dfca1856c2488665,2469,87,247,649,18,0,0.0,5,6,True,Chen_ETH,
<nil>,0x9bb9e03b500bdeb18cf109fb02bce8008ed43270,1190,62,529,607,18,4,48209.05995,28,0,True,,
<nil>,0xb8fc3a68dc855b14c5f62d946b5205a7e9bed430,1190,97,574,650,18,4,238420.9653,1,0,True,,
<nil>,0xe7b5b2a73bf7027d802a40e6bed0a05e08f45439,2469,80,265,966,18,4,1344.520633,6,0,True,,
<nil>,0xdfa30b17f2e2451e2054bf11262df5b1fd3d2543,2469,63,305,960,18,6,11157.67064,4,7,True,w4859053,
mikekarnj.eth,0xc14150e929795bfbbf508d05e0e9d0917777d487,1462,106,211,805,17,6,273637.9228,5,1,True,mikekarnj,
<nil>,0x12ad12da029878507f9d4c1c67e7a23035317c4a,1190,59,561,790,17,0,0.0,4,17,True,Postalworker,
<nil>,0x2ab1e17a259abc93aa7c44d826917c4d1370c123,1462,205,303,761,17,5,2747.492193,21,16,True,PandemoniumCheetah,https://twitter.com/wlwizuhd
<nil>,0xe06552acf8665e2e0c8c5ad91f318b6374018abb,1190,98,286,689,17,0,0.0,6,9,True,Archetypist,https://archetypist.dev
soniupeng.eth,0xe9675dcd085960b4543484a3d583742cc5edd59d,1872,285,378,944,17,7,6316.17548,17,39,True,SoniuPeng,"https://instagram.com/soniupeng, https://twitter.com/soniupeng"
morocho.eth,0x0471ccf14bcfb7c626da92286dd3c93b88ac71f4,1462,196,195,983,17,9,8717.912606,24,25,True,Moroch,
alunaut.eth,0x44a55855fb5b8ee29d64f4c004464ae802a23c8c,1600,289,210,1193,17,19,242816.5798,11,15,True,AlunaDAO,"https://aluna.social, https://twitter.com/alunasocial"
florentthurin.eth,0xbd0922d4d895fae0322fd5ac137126bf56fbcf71,1746,434,203,1371,17,87,118736.7269,14,7,True,flofloflo,
<nil>,0x1ce8c1abcadbb5a85ea5b50457a73c50215022ab,2469,3253,275,1870,17,1932,10405943.71,33,160,True,,
<nil>,0x4d73f6905f4a8031b5f1c62141a64330054bef45,1190,422,417,1198,16,128,3346338.255,36,32,True,,
